 zip_code,lat,lng
35477,32.940129,-88.248887
36925,32.488332,-88.314667
36907,32.391797,-88.362364
35150,33.155713,-86.271481
35160,33.455532,-86.080996
35014,33.318716,-86.196382
35044,33.265551,-86.356403
35096,33.635617,-86.100047
35160,33.491473,-86.160242
35151,33.146198,-86.409526
36268,33.524866,-85.948344
35149,33.252786,-86.206114
35044,33.274679,-86.34269
35160,33.507828,-86.142235
36268,33.524718,-85.948548
36256,33.017016,-85.805334
36853,32.829746,-85.752483
36850,32.804609,-85.644339
36866,32.602736,-85.804954
36853,32.824024,-85.762626
36078,32.526644,-85.894169
35217,33.57843,-86.772602
36784,31.890434,-87.735277
36081,31.81303,-85.96236
35406,33.266058,-87.512641
35404,33.207845,-87.502376
35401,33.199736,-87.575589
35453,33.16018,-87.453833
35405,33.168915,-87.530974
35401,33.193277,-87.538345
35406,33.288668,-87.49543
35405,33.129953,-87.537794
35404,33.226686,-87.482901
35444,33.260267,-87.315796
35446,33.256144,-87.751565
35476,33.233497,-87.590157
35473,33.243583,-87.621682
35404,33.235954,-87.487504
35456,33.116512,-87.479678
35463,33.09469,-87.689758
35475,33.470195,-87.63309
35490,33.174639,-87.239886
35473,33.245798,-87.569402
35475,33.464978,-87.634403
35452,33.247346,-87.685443
35456,33.090437,-87.478964
35111,33.272559,-87.118863
35453,33.195253,-87.454756
35446,33.194145,-87.728331
35674,34.729805,-87.700011
35216,33.42099,-86.794653
35242,33.478759,-86.671617
35243,33.451995,-86.737293
35549,33.90368,-87.505311
35501,33.817886,-87.186513
35550,33.767063,-87.181027
35503,33.95832,-87.216115
35062,33.749652,-87.061989
35578,33.926112,-87.412501
35579,33.72005,-87.38755
35580,33.733439,-87.278619
35584,33.828398,-87.090591
35148,33.755418,-87.058042
35587,33.829047,-87.428187
35504,33.826935,-87.177288
35503,33.95945,-87.217722
36518,31.464474,-88.254457
36553,31.282143,-88.033014
36539,31.387068,-88.375737
36548,31.502278,-87.970589
36558,31.640138,-88.314976
36769,31.971303,-87.593356
36720,32.195557,-87.38119
36726,31.993014,-87.284995
36768,31.909863,-87.001003
35594,33.931415,-87.812039
35553,34.179072,-87.368534
35540,34.204718,-87.181605
35575,34.045134,-87.547244
35541,34.075792,-87.213688
35553,34.177274,-87.368806
35575,34.045172,-87.546588
99559,60.866944,-162.273056
99559,60.80254,-161.77072
99561,60.15864,-164.282469
99614,59.936533,-164.038046
99559,59.953889,-162.895278
99622,59.876758,-163.161634
99637,60.5327,-165.1091
99641,60.894332,-162.454441
99651,59.0103,-161.8161
99681,60.585689,-165.250446
99609,60.873091,-162.515272
99578,59.751633,-161.89756
99680,60.342702,-162.663382
99630,60.389167,-166.206944
99634,60.694311,-161.972502
99559,60.802857,-161.770428
99621,60.81019,-161.4293
99634,60.707436,-161.764958
99559,60.936486,-164.628595
99655,59.751095,-161.897716
99690,60.476915,-164.722583
99559,60.707431,-161.765224
99589,59.121938,-161.590881
99609,60.873143,-162.5157
99559,60.796186,-161.762443
99554,62.683173,-164.652285
99581,62.7776,-164.5242
99585,61.790727,-161.340889
99604,61.532438,-166.100639
99632,62.089386,-163.725683
99658,62.032001,-163.28721
99657,61.788175,-161.326122
99650,61.936532,-162.887972
99620,63.032063,-163.554793
99662,61.842,-165.5802
99666,62.530881,-164.850411
99551,60.908374,-161.432148
99679,61.1001,-160.961
99552,60.911757,-161.216559
99563,61.5307,-165.5846
99835,57.05181,-135.358
99553,54.1377,-165.7697
99571,55.204377,-162.718669
99583,54.85144,-163.414218
99571,56.000327,-161.204841
99612,55.04728,-162.29577
99661,55.351546,-160.475841
99547,52.194615,-174.197333
99546,51.868157,-176.639853
99638,52.941188,-168.861325
99742,63.77751,-171.714711
99753,64.9312,-161.1594
99769,63.695674,-170.4769
99772,66.055752,-165.500816
99778,65.261279,-166.362265
99684,63.875946,-160.795297
99783,65.605098,-168.085971
99784,64.68005,-163.400321
99739,64.615038,-162.266601
99762,64.545297,-163.035514
99785,65.334371,-166.48727
99771,64.333889,-161.153889
99659,63.47809,-162.044473
99671,63.521885,-162.289055
99762,65.757994,-168.932235
99633,58.733307,-157.004582
99780,63.327404,-142.979271
99737,63.659187,-144.065357
99738,64.788,-141.2
99780,62.934013,-143.788739
99764,62.961667,-141.937222
99780,63.327385,-142.97923
99776,63.375994,-143.355251
99779,63.137812,-142.519294
99574,60.540506,-145.759161
99588,62.566519,-144.665658
99573,61.989835,-145.339098
99586,62.30332,-145.281536
99586,62.704861,-143.966577
99921,55.475276,-133.135175
99737,64.043052,-145.714025
99731,63.968177,-145.722734
99576,59.042379,-158.464858
99741,64.757576,-156.867395
99701,64.81243,-147.768486
99901,55.35427,-131.6816
99507,61.143867,-149.832712
99508,61.207096,-149.829764
99506,61.237295,-149.863361
99506,61.231267,-149.742139
99504,61.193233,-149.761245
99515,61.125555,-149.940139
99567,61.375752,-149.531359
99518,61.155036,-149.900826
99501,61.208124,-149.88934
99508,61.222737,-149.810827
99504,61.204805,-149.747388
99502,61.141828,-149.939279
99501,61.210443,-149.890461
99567,61.400559,-149.463546
99504,61.216396,-149.741964
99501,61.213281,-149.881113
99577,61.319485,-149.569769
99508,61.199754,-149.805025
99587,60.968644,-149.127671
99577,61.31509,-149.547062
99516,61.111382,-149.808302
99507,61.173912,-149.850602
99517,61.194333,-149.948227
99506,61.243099,-149.818611
99504,61.218323,-149.719984
99503,61.199834,-149.893619
99517,61.176346,-149.925141
99504,61.203463,-149.776051
99516,61.120276,-149.768366
99515,61.112839,-149.877085
99507,61.164657,-149.854552
99516,61.096725,-149.835006
99508,61.193731,-149.85576
99503,61.19828,-149.914896
99502,61.152733,-149.953086
99518,61.169457,-149.874084
99507,61.179553,-149.759556
99505,61.246556,-149.690989
99508,61.194148,-149.836519
99517,61.200929,-149.917099
99503,61.180133,-149.903202
99508,61.219631,-149.785006
99507,61.158125,-149.808123
99502,61.157312,-149.970907
99503,61.1981,-149.876
99567,61.427207,-149.424613
99504,61.195172,-149.77587
99507,61.139811,-149.787951
99505,61.246513,-149.687025
99508,61.193123,-149.832869
99577,61.298507,-149.57236
99518,61.1742,-149.891198
99515,61.112675,-149.909458
99503,61.194914,-149.891223
99577,61.30583,-149.505261
99504,61.193958,-149.775759
99515,61.128925,-149.931428
99577,61.345866,-149.552087
99801,58.302824,-134.423582
99835,57.051399,-135.33141
99827,59.235283,-135.454105
99829,58.107772,-135.4409
99922,55.204029,-132.825524
99830,56.975605,-133.946692
99611,60.553799,-151.253696
99603,59.648576,-151.519682
99556,59.77662,-151.83394
99682,61.068054,-151.143588
99572,60.49503,-149.80611
99603,59.35372,-151.92013
99605,60.916297,-149.622877
99631,60.48677,-149.368908
99556,59.809927,-151.612834
99639,60.043663,-151.673997
99603,59.35166,-151.83635
99664,60.132594,-149.435911
99669,60.492076,-151.068568
99672,60.536257,-150.797117
99663,59.442217,-151.713651
99610,60.308254,-151.266221
99611,60.554091,-151.254006
99603,59.6436,-151.56784
99669,60.49158,-151.070149
99611,60.568277,-151.279143
99635,60.681943,-151.238462
99603,59.794278,-151.096546
99669,60.457513,-151.097629
99603,59.736111,-151.295278
99925,55.55976,-133.0977
99615,57.821445,-152.365127
99615,56.968356,-154.188118
99615,57.61587,-152.202861
99624,57.54,-153.9786
99643,56.83998,-153.93663
99550,57.8752,-152.881
99644,57.92361,-152.50222
99615,57.794646,-152.39556
99608,57.568468,-154.391618
99564,56.299046,-158.411176
99565,56.30749,-158.53497
